group_id,param_E,param_v,param_sigma_y,param_H,x,y,u,v,type
0,215585,0.302629,286.704,1675.64,16,3.5,-0.154001,0.0688144,0
0,215585,0.302629,286.704,1675.64,16.5,3.5,-0.163902,0.0725227,0
0,215585,0.302629,286.704,1675.64,17,3.5,-0.173377,0.0773427,0
0,215585,0.302629,286.704,1675.64,17.5,3.5,-0.180927,0.0819911,0
0,215585,0.302629,286.704,1675.64,18,3.5,-0.187562,0.0865356,0
0,215585,0.302629,286.704,1675.64,18.5,3.5,-0.192123,0.0903489,0
0,215585,0.302629,286.704,1675.64,19,3.5,-0.195494,0.0932123,0
0,215585,0.302629,286.704,1675.64,19.5,3.5,-0.197473,0.0954895,0
0,215585,0.302629,286.704,1675.64,20,3.5,-0.198694,0.097119,0
0,215585,0.302629,286.704,1675.64,0,4,0.199859,0.0982776,0
0,215585,0.302629,286.704,1675.64,0.5,4,0.199062,0.0972082,0
0,215585,0.302629,286.704,1675.64,1,4,0.197524,0.0959548,0
